empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
GIM464,506255,9/13/2016,NULL,NULL,CDQ267,253154,21205,"Vehicle Remarketing (Plano)","Auto Finance"
ZYX850,514588,9/13/2016,NULL,NULL,WJK831,221427,21201,"Customer Care (Plano)","Auto Finance"
IYR502,466021,9/13/2016,NULL,NULL,TLO349,363849,28732,"HE Closing","Home Loans"
HIX029,154096,9/13/2016,NULL,NULL,NQW821,271021,21630,"LO Strategy & Command Ctr","Auto Finance"
ZYK902,522562,9/13/2016,NULL,NULL,KFG858,234191,21245,"Customer Care (Tulsa)","Auto Finance"
UXU094,346906,9/13/2016,NULL,NULL,ROS143,226919,27135,"Home Loans Cross Vertical Team","Home Loans"
JQP660,216282,9/13/2016,NULL,NULL,CGD952,115020,21204,"Bankruptcies (Plano)","Auto Finance"
SIL943,532176,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
SJK949,388160,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
JQG477,478665,9/13/2016,NULL,NULL,KBZ599,294471,21045,"FS Chief of Staff Team","Financial Services Rollup"
EUK773,507874,9/13/2016,NULL,NULL,TBS456,317166,21414,"RBC - DC","Auto Finance"
LQP683,154524,9/13/2016,NULL,NULL,DBZ939,225330,21045,"FS Chief of Staff Team","Financial Services Rollup"
SJH543,503668,9/13/2016,NULL,NULL,CWM874,383243,27130,"HE  Command Ctr","Home Loans"
VKP571,229190,9/13/2016,NULL,NULL,EWL870,185514,21208,"LS Management","Auto Finance"
SEQ072,546652,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
NRL185,437579,9/13/2016,NULL,NULL,EVH866,193641,21260,"LS QA And Support","Auto Finance"
NRL185,437579,9/13/2016,NULL,NULL,EVH866,193641,21260,"LS QA And Support","Auto Finance"
USO594,533299,9/13/2016,NULL,NULL,FBE141,361255,39051,"CDM Plano","Financial Services Rollup"
YPK352,496248,9/13/2016,NULL,NULL,DOS699,184706,21403,"Titles & Total Loss","Auto Finance"
HNL987,484211,9/13/2016,NULL,NULL,IQQ271,214339,21260,"LS QA And Support","Auto Finance"
NCT131,415150,9/13/2016,NULL,NULL,TLO349,363849,28732,"HE Closing","Home Loans"
ATH663,366645,9/13/2016,NULL,NULL,NQW821,271021,24010,"Consumer M&A","Auto Finance"
CAH318,526599,9/13/2016,NULL,NULL,VMY282,244484,27572,ManageCollections,"Home Loans"
NDS911,485006,9/13/2016,NULL,NULL,XXV407,258260,21125,"Dealer Specialty Funding","Auto Finance"
GHS598,193663,9/13/2016,NULL,NULL,AIY008,254953,21413,"RBC - Remote","Auto Finance"
OSI521,420324,9/13/2016,NULL,NULL,RRW588,293239,21238,"LM - Resolution and Retention","Financial Services Rollup"
ZAF184,535255,9/13/2016,NULL,NULL,JOZ484,226473,21261,"Manual Collections Tulsa 2","Auto Finance"
URU532,436838,9/13/2016,NULL,NULL,QWS564,228327,21405,"RBC - Plano","Auto Finance"
OUB604,282581,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
ICM172,490526,9/13/2016,NULL,NULL,EML436,424083,27140,"Loan Originations Command Ctr","Home Loans"
ZDY793,154423,9/13/2016,NULL,NULL,ZCK559,263950,21125,"Dealer Specialty Funding","Auto Finance"
QXW122,486152,9/13/2016,NULL,NULL,CWM874,348433,17836,"Customer Service HL","Home Loans"
QBZ594,482685,9/13/2016,NULL,NULL,OGX444,203420,21409,"RBC - Melville","Auto Finance"
KLC556,111642,9/13/2016,NULL,NULL,EWL870,238001,21208,"LS Management","Auto Finance"
NKF800,544136,9/13/2016,NULL,NULL,MRZ222,370591,21242,"Repo (Tulsa)","Auto Finance"
